product_id,address,price,area,bedrooms_num,bathrooms_num
39855403,"·
Sơn Trà, Đà Nẵng","5,62 tỷ","92,2 m²",3,3
41788180,"·
Hoài Đức, Hà Nội",22 tỷ,120 m²,5,4
41859808,"·
Quận 9, Hồ Chí Minh","3,6 tỷ",69 m²,2,2
42102554,"·
Thái Bình, Thái Bình","36,3 tỷ","134,4 m²",3,3
42102471,"·
Phủ Lý, Hà Nam","5,7 tỷ",56 m²,5,4
41938029,"·
Hai Bà Trưng, Hà Nội","6,72 tỷ",108 m²,3,2
41764939,"·
Hai Bà Trưng, Hà Nội",7 tỷ,95 m²,2,2
42100865,"·
Lê Chân, Hải Phòng","17,85 tỷ","71,07 m²",2,4
42100862,"·
Thanh Hóa, Thanh Hóa","8,25 tỷ",131 m²,0,0
42100712,"·
Tiên Du, Bắc Ninh","5,25 tỷ",85 m²,0,0
38502326,"Vũng Tàu, Bà Rịa Vũng Tàu",60 tỷ,675 m²,0,0
41989738,"Quận 12, Hồ Chí Minh","6,4 tỷ","52,4 m²",3,4
42143433,"Thường Tín, Hà Nội",27 tỷ,"119,3 m²",4,6
42012984,"Thuận An, Bình Dương","3,4 tỷ",112 m²,3,3
42143309,"Nam Từ Liêm, Hà Nội","10,6 tỷ","161,4 m²",3,3
41811497,"Hà Đông, Hà Nội","35,5 tỷ",225 m²,0,0
41479821,"Vũng Tàu, Bà Rịa Vũng Tàu","3,14 tỷ",76 m²,2,2
40124207,"Văn Giang, Hưng Yên","39,5 tỷ",160 m²,5,4
39707439,"Quận 9, Hồ Chí Minh",Giá thỏa thuận,33 m²,2,2
41841138,"Văn Giang, Hưng Yên","7,2 tỷ",54 m²,0,0
41561469,"Cầu Giấy, Hà Nội","15,79 tỷ",168 m²,3,2
40125140,"Quận 2, Hồ Chí Minh","15,7 tỷ",143 m²,3,3
42142943,"Hà Đông, Hà Nội",14 tỷ,88 m²,0,0
42142684,"Hai Bà Trưng, Hà Nội","17,5 tỷ",80 m²,7,8
42142665,"Tân Bình, Hồ Chí Minh",50 tỷ,"162,53 m²",0,0
42009503,"Bảo Lộc, Lâm Đồng","25,98 tỷ",13.322 m²,0,0
42142536,"Tây Hồ, Hà Nội","7,5 tỷ",35 m²,5,5
42064971,"Văn Giang, Hưng Yên",Giá thỏa thuận,193 m²,0,0
42073690,"Thanh Xuân, Hà Nội",45 tỷ,85 m²,0,0
41908200,"Tây Hồ, Hà Nội","82,8 tỷ",180 m²,0,0
41616345,"Hoài Đức, Hà Nội",Giá thỏa thuận,100 m²,0,0
42141279,"Nam Từ Liêm, Hà Nội","3,9 tỷ",64 m²,2,2
42141159,"Nam Từ Liêm, Hà Nội","6,5 tỷ",88 m²,2,2
35517026,"Hai Bà Trưng, Hà Nội","6,7 tỷ",95 m²,3,2
42064524,"Vũng Tàu, Bà Rịa Vũng Tàu",17 tỷ,"153,8 m²",2,3
41725916,"Nhơn Trạch, Đồng Nai","18,5 tỷ",320 m²,0,0
42121930,"Nam Từ Liêm, Hà Nội",50 tỷ,126 m²,6,6
42141008,"Bến Lức, Long An",6 tỷ,1.600 m²,0,0
42140918,"Đức Hòa, Long An",5 tỷ,450 m²,0,0
41762233,"Quận 3, Hồ Chí Minh",40 tỷ,328 m²,23,21
39854059,"Quận 7, Hồ Chí Minh",175 tỷ,519 m²,6,6
36883816,"Quận 9, Hồ Chí Minh",13 tỷ,102 m²,0,0
42140908,"Thái Nguyên, Thái Nguyên","1,59 tỷ",76 m²,2,2
41809620,"Quận 2, Hồ Chí Minh","10,9 tỷ",93 m²,2,2
40570286,"Nam Từ Liêm, Hà Nội","8,67 tỷ",115 m²,3,2
41036963,"Quận 7, Hồ Chí Minh","2,65 tỷ",67 m²,2,2
35867282,"Quận 7, Hồ Chí Minh","2,3 tỷ",53 m²,1,1
42140869,"Chơn Thành, Bình Phước",486 triệu,750 m²,0,0
42140855,"Quận 2, Hồ Chí Minh","7,2 tỷ",85 m²,2,2
41352225,"Quận 9, Hồ Chí Minh","10,6 tỷ",100 m²,0,0
42138532,"Ngũ Hành Sơn, Đà Nẵng","3,25 tỷ",108 m²,0,0
42138353,"Điện Bàn, Quảng Nam","1,65 tỷ","197,5 m²",0,0
41669854,"Cầu Giấy, Hà Nội","13,9 tỷ",56 m²,8,0
42138215,"Đông Anh, Hà Nội","20,8 tỷ",75 m²,0,0
42138201,"Đống Đa, Hà Nội","14,95 tỷ",54 m²,0,0
41390747,"Quận 2, Hồ Chí Minh","5,5 tỷ",75 m²,2,2
40982386,"Quận 2, Hồ Chí Minh","4,9 tỷ",52 m²,1,1
41729220,"Hoàng Mai, Hà Nội","3,54 tỷ",68 m²,2,2
42061623,"Quận 10, Hồ Chí Minh","6,2 tỷ",36 m²,3,5
33898222,"Trảng Bom, Đồng Nai",1 tỷ,100 m²,0,0
38891492,"Dĩ An, Bình Dương","1,87 tỷ",70 m²,2,2
42004085,"Ngũ Hành Sơn, Đà Nẵng","3,61 tỷ",82 m²,2,2
41719225,"Nam Từ Liêm, Hà Nội","6,8 tỷ",75 m²,2,2
39668261,"Bắc Từ Liêm, Hà Nội","5,1 tỷ",83 m²,2,2
42105536,"Nam Từ Liêm, Hà Nội","3,4 tỷ",55 m²,2,1
42137860,"Ba Đình, Hà Nội","45,5 tỷ",150 m²,6,6
41852010,"Mê Linh, Hà Nội","19,5 tỷ","323,8 m²",0,0
42076386,"Thuận An, Bình Dương","3,5 tỷ",100 m²,0,0
42084659,"Ba Đình, Hà Nội",Giá thỏa thuận,"106,1 m²",3,0
42134735,"Nha Trang, Khánh Hòa",Giá thỏa thuận,20.000 m²,0,0
34267395,"Bắc Tân Uyên, Bình Dương","143,5 tỷ",41.000 m²,0,0
40547214,"Cầu Giấy, Hà Nội",7 tỷ,"77,5 m²",2,2
39547417,"Nhà Bè, Hồ Chí Minh","4,25 tỷ",79 m²,2,2
41564964,"Gia Lâm, Hà Nội",Giá thỏa thuận,66 m²,2,2
42134130,"Gia Lâm, Hà Nội",10 tỷ,75 m²,0,0
41262953,"Tây Hồ, Hà Nội","110,16 tỷ",324 m²,6,5
42134086,"Nha Trang, Khánh Hòa",Giá thỏa thuận,100 m²,0,0
42134026,"Nam Từ Liêm, Hà Nội","4,39 tỷ",68 m²,2,2
42089266,"Quận 7, Hồ Chí Minh",49 tỷ,220 m²,6,6
39667628,"Bắc Từ Liêm, Hà Nội","5,7 tỷ",90 m²,3,2
41286666,"Lương Sơn, Hòa Bình","1,7 tỷ",900 m²,0,0
42133714,"Long Biên, Hà Nội",40 tỷ,360 m²,0,0
42133419,"Quận 2, Hồ Chí Minh","9,5 tỷ",71 m²,2,2
41967258,"Bắc Từ Liêm, Hà Nội","7,85 tỷ",98 m²,3,2
41859176,"Hai Bà Trưng, Hà Nội","8,5 tỷ",120 m²,2,2
